state/ut,confirmed (indian),confirmed (foreign),cured/discharged,death
Andhra Pradesh,5,0,0,0
Bihar,2,0,0,1
Chhattisgarh,1,0,0,0
Delhi,28,1,5,1
Gujarat,18,0,0,1
Haryana,7,14,0,0
Himachal Pradesh,2,0,0,0
Karnataka,26,0,2,1
Kerala,45,7,3,0
Madhya Pradesh,4,0,0,0
Maharashtra,64,3,0,2
Odisha,2,0,0,0
Puducherry,1,0,0,0
Punjab,21,0,0,1
Rajasthan,22,2,3,0
Tamil Nadu,5,2,1,0
Telengana,11,11,1,0
Chandigarh,5,0,0,0
Jammu and Kashmir,4,0,0,0
Ladakh,13,0,0,0
Uttar Pradesh,26,1,9,0
Uttarakhand,3,0,0,0
West Bengal,4,0,0,0
