state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,151,83,0
Andhra Pradesh,23814,12154,277
Arunachal Pradesh,302,120,2
Assam,14032,8726,22
Bihar,13944,9816,115
Chandigarh,523,403,7
Chhattisgarh,3675,2903,15
Dadra and Nagar Haveli and Daman and Diu,411,189,0
Delhi,107051,82226,3258
Goa,2151,1273,9
Gujarat,39194,27718,2008
Haryana,19369,14510,287
Himachal Pradesh,1140,846,11
Jammu and Kashmir,9501,5695,154
Jharkhand,3246,2208,23
Karnataka,31105,12833,486
Kerala,6534,3708,27
Ladakh,1055,915,1
Madhya Pradesh,16341,12232,634
Maharashtra,230599,127259,9667
Manipur,1450,799,0
Meghalaya,113,66,2
Mizoram,197,133,0
Nagaland,673,304,0
Odisha,11201,7407,52
Puducherry,1151,584,14
Punjab,7140,4945,183
Rajasthan,22563,17070,491
Sikkim,134,72,0
Tamil Nadu,126581,78161,1765
Telangana,30946,18192,331
Tripura,1776,1338,1
Uttarakhand,3305,2672,46
Uttar Pradesh,32362,21127,862
West Bengal,25911,16826,854
